日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA20,MA60,RSI14,DIF,DEA,MACD
2023-01-03,600519,1551.84,1550.65,1559.07,1526.65,26034,4487760231.0,2.09,0.19,3.01,0.21,,,,,0.0,0.0,0.0
2023-01-04,600519,1550.64,1545.65,1559.34,1536.64,20416,3523582306.0,1.46,-0.32,-5.0,0.16,,,,,-0.398860398860279,-0.0797720797720558,-0.6381766381764464
2023-01-05,600519,1557.64,1621.64,1621.64,1553.64,47943,8541587089.0,4.4,4.92,75.99,0.38,,,,,5.355067897176241,1.0071959156176036,8.695743963117275
2023-01-06,600519,1626.76,1624.41,1632.54,1607.64,24904,4480838898.0,1.54,0.17,2.77,0.2,,,,,10.0230736231631,2.810371457126703,14.425404332072794
2023-01-09,600519,1655.64,1661.84,1670.62,1628.46,30977,5684181147.0,2.6,2.3,37.43,0.25,1600.8380000000002,,,,16.551988951236126,5.558694955948588,21.986587990575075
2023-01-10,600519,1659.7,1675.09,1685.14,1651.14,22732,4204783734.0,2.05,0.8,13.25,0.18,1625.726,,,,22.535589405410292,8.954073845840929,27.163031119138726
2023-01-11,600519,1676.64,1665.59,1680.64,1657.48,22720,4201487773.0,1.38,-0.57,-9.5,0.18,1649.714,,,,26.20894486773568,12.40504805021988,27.6077936350316
2023-01-12,600519,1668.64,1654.64,1676.64,1653.64,17193,3162637136.0,1.38,-0.66,-10.95,0.14,1656.3139999999999,,,,27.914748208671654,15.506988081910237,24.815520253522834
2023-01-13,600519,1664.82,1707.64,1708.64,1660.64,31940,5969876222.0,2.9,3.2,53.0,0.25,1672.9599999999998,,,,33.16100725688466,19.03779191690512,28.246430679959076
2023-01-16,600519,1706.64,1733.54,1755.64,1701.64,36848,7059982640.0,3.16,1.52,25.9,0.29,1687.3,,,,38.95951782449447,23.02213709842299,31.874761452142955
2023-01-17,600519,1733.8,1728.64,1743.64,1715.64,21299,4068321409.0,1.62,-0.28,-4.9,0.17,1698.0099999999998,,,,42.66764413445094,26.95123850562858,31.432811257644715
2023-01-18,600519,1734.64,1713.64,1745.94,1710.64,21063,4008665438.0,2.04,-0.87,-15.0,0.17,1707.6200000000001,,,,43.89004914499287,30.339000633501442,27.10209702298286
2023-01-19,600519,1713.14,1700.85,1713.16,1686.64,23439,4401994437.0,1.55,-0.75,-12.79,0.19,1716.8619999999999,,,,43.32731746783952,32.936664000369056,20.78130693494093
2023-01-20,600519,1709.83,1680.65,1718.89,1678.64,25609,4807356071.0,2.37,-1.19,-20.2,0.2,1711.464,,,72.67336402958007,40.781276211176646,34.50558644253058,12.551379537292135
2023-01-30,600519,1729.64,1708.64,1729.64,1700.64,35923,6799756571.0,1.73,1.67,27.99,0.29,1706.484,,,75.10407728731693,40.554591167225,35.71538738746946,9.678407559511072
2023-01-31,600519,1717.14,1666.4,1720.59,1653.71,32991,6128311548.0,3.91,-2.47,-42.24,0.26,1694.036,,,67.15637520957065,36.54525569213797,35.881361048403164,1.3277892874696136
2023-02-01,600519,1675.62,1665.61,1679.64,1632.04,33974,6244678925.0,2.86,-0.05,-0.79,0.27,1684.4299999999998,,,57.945141122474766,32.9245483462189,35.28999850796631,-4.730900323494822
2023-02-02,600519,1669.02,1656.75,1679.64,1646.64,29759,5465509510.0,1.98,-0.53,-8.86,0.24,1675.61,,,55.71782178217821,29.005822666696304,34.03316333971231,-10.054681346032012
2023-02-03,600519,1640.64,1638.64,1646.64,1616.32,34945,6324635031.0,1.83,-1.09,-18.11,0.28,1667.208,,,45.597388796113584,24.16037294437274,32.0586052606444,-15.79646463254332
2023-02-06,600519,1600.64,1615.64,1615.64,1580.64,42661,7595739044.0,2.14,-1.4,-23.0,0.34,1648.6080000000002,1660.8075000000001,,39.12088716465983,18.253990706718696,29.297682349859258,-22.087383286281124
2023-02-07,600519,1628.72,1617.64,1629.44,1608.37,24322,4373671735.0,1.3,0.12,2.0,0.19,1638.8560000000002,1664.157,,40.97768411545555,13.578004728993164,26.153746825686042,-25.151484193385755
2023-02-08,600519,1620.65,1604.64,1626.61,1595.64,16676,2980574806.0,1.91,-0.8,-13.0,0.13,1626.662,1667.1065000000003,,40.66397789229964,8.722710817909274,22.66753962413069,-27.889657612442832
2023-02-09,600519,1598.64,1638.64,1650.39,1595.65,29754,5401399088.0,3.41,2.12,34.0,0.24,1623.0400000000002,1667.9565000000002,,36.13232574965832,7.531552217283206,19.640342142761195,-24.21757985095598
2023-02-10,600519,1630.74,1630.64,1639.13,1621.69,17985,3253859317.0,1.06,-0.49,-8.0,0.14,1621.44,1668.268,,27.71569646569648,5.874302006339349,16.887134115476826,-22.025664218274954
2023-02-13,600519,1630.64,1676.99,1695.14,1630.64,38147,7058382498.0,3.96,2.84,46.35,0.3,1633.7100000000003,1669.0255000000002,,40.5170197921639,8.206378883732668,15.150983069127996,-13.889208370790655
2023-02-14,600519,1677.1,1664.43,1678.04,1655.64,19566,3601769574.0,1.34,-0.75,-12.56,0.16,1643.068,1668.4925000000003,,40.88332283522916,8.938047333157783,13.908395921933954,-9.940697177552341
2023-02-15,600519,1664.42,1661.64,1675.94,1656.45,18177,3351422211.0,1.17,-0.17,-2.79,0.14,1654.468,1668.295,,42.45642387163803,9.186869652984797,12.964090668144122,-7.554442030318651
2023-02-16,600519,1661.98,1682.46,1707.64,1648.64,33246,6196915130.0,3.55,1.25,20.82,0.26,1663.232,1669.6860000000001,,50.34739549345513,10.937976944553156,12.55886792342593,-3.2417819577455482
2023-02-17,600519,1670.8,1641.42,1693.64,1640.69,26443,4880328952.0,3.15,-2.44,-41.04,0.21,1665.3880000000001,1666.375,,37.71384705366279,8.91143163800939,11.829380666342622,-5.8358980566664655
2023-02-20,600519,1641.64,1695.64,1699.44,1637.84,29669,5488800056.0,3.75,3.3,54.22,0.24,1669.118,1664.4800000000002,,55.120123275197884,11.547369854956287,11.772978504065357,-0.4512172982181397
2023-02-21,600519,1694.64,1687.64,1694.64,1671.64,18751,3491633510.0,1.36,-0.47,-8.0,0.15,1673.7600000000002,1662.4299999999998,,53.762596071733604,12.842793018034854,11.986941406859255,1.711703222351197
2023-02-22,600519,1675.65,1656.64,1684.54,1652.44,21869,4031016045.0,1.9,-1.84,-31.0,0.17,1672.7600000000002,1659.58,,49.982533583156034,11.238434607136014,11.837240046914607,-1.1976108795571854
2023-02-23,600519,1660.64,1638.64,1669.44,1625.89,21881,3983991208.0,2.63,-1.09,-18.0,0.17,1663.9959999999999,1656.4695,,50.0,8.417487879427426,11.153289613417172,-5.471603467979492
2023-02-24,600519,1630.75,1608.64,1630.83,1602.82,24635,4415621498.0,1.71,-1.83,-30.0,0.2,1657.44,1652.869,,48.91230032941761,3.7182562508303363,9.666282940899805,-11.896053380138937
