日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,600519,1551.84,1550.65,1559.07,1526.65,26034,4487760231.0,2.09,0.19,3.01,0.21
2023-01-04,600519,1550.64,1545.65,1559.34,1536.64,20416,3523582306.0,1.46,-0.32,-5.0,0.16
2023-01-05,600519,1557.64,1621.64,1621.64,1553.64,47943,8541587089.0,4.4,4.92,75.99,0.38
2023-01-06,600519,1626.76,1624.41,1632.54,1607.64,24904,4480838898.0,1.54,0.17,2.77,0.2
2023-01-09,600519,1655.64,1661.84,1670.62,1628.46,30977,5684181147.0,2.6,2.3,37.43,0.25
2023-01-10,600519,1659.7,1675.09,1685.14,1651.14,22732,4204783734.0,2.05,0.8,13.25,0.18
2023-01-11,600519,1676.64,1665.59,1680.64,1657.48,22720,4201487773.0,1.38,-0.57,-9.5,0.18
2023-01-12,600519,1668.64,1654.64,1676.64,1653.64,17193,3162637136.0,1.38,-0.66,-10.95,0.14
2023-01-13,600519,1664.82,1707.64,1708.64,1660.64,31940,5969876222.0,2.9,3.2,53.0,0.25
2023-01-16,600519,1706.64,1733.54,1755.64,1701.64,36848,7059982640.0,3.16,1.52,25.9,0.29
2023-01-17,600519,1733.8,1728.64,1743.64,1715.64,21299,4068321409.0,1.62,-0.28,-4.9,0.17
2023-01-18,600519,1734.64,1713.64,1745.94,1710.64,21063,4008665438.0,2.04,-0.87,-15.0,0.17
2023-01-19,600519,1713.14,1700.85,1713.16,1686.64,23439,4401994437.0,1.55,-0.75,-12.79,0.19
2023-01-20,600519,1709.83,1680.65,1718.89,1678.64,25609,4807356071.0,2.37,-1.19,-20.2,0.2
2023-01-30,600519,1729.64,1708.64,1729.64,1700.64,35923,6799756571.0,1.73,1.67,27.99,0.29
2023-01-31,600519,1717.14,1666.4,1720.59,1653.71,32991,6128311548.0,3.91,-2.47,-42.24,0.26
2023-02-01,600519,1675.62,1665.61,1679.64,1632.04,33974,6244678925.0,2.86,-0.05,-0.79,0.27
2023-02-02,600519,1669.02,1656.75,1679.64,1646.64,29759,5465509510.0,1.98,-0.53,-8.86,0.24
2023-02-03,600519,1640.64,1638.64,1646.64,1616.32,34945,6324635031.0,1.83,-1.09,-18.11,0.28
2023-02-06,600519,1600.64,1615.64,1615.64,1580.64,42661,7595739044.0,2.14,-1.4,-23.0,0.34
2023-02-07,600519,1628.72,1617.64,1629.44,1608.37,24322,4373671735.0,1.3,0.12,2.0,0.19
2023-02-08,600519,1620.65,1604.64,1626.61,1595.64,16676,2980574806.0,1.91,-0.8,-13.0,0.13
2023-02-09,600519,1598.64,1638.64,1650.39,1595.65,29754,5401399088.0,3.41,2.12,34.0,0.24
2023-02-10,600519,1630.74,1630.64,1639.13,1621.69,17985,3253859317.0,1.06,-0.49,-8.0,0.14
2023-02-13,600519,1630.64,1676.99,1695.14,1630.64,38147,7058382498.0,3.96,2.84,46.35,0.3
2023-02-14,600519,1677.1,1664.43,1678.04,1655.64,19566,3601769574.0,1.34,-0.75,-12.56,0.16
2023-02-15,600519,1664.42,1661.64,1675.94,1656.45,18177,3351422211.0,1.17,-0.17,-2.79,0.14
2023-02-16,600519,1661.98,1682.46,1707.64,1648.64,33246,6196915130.0,3.55,1.25,20.82,0.26
2023-02-17,600519,1670.8,1641.42,1693.64,1640.69,26443,4880328952.0,3.15,-2.44,-41.04,0.21
2023-02-20,600519,1641.64,1695.64,1699.44,1637.84,29669,5488800056.0,3.75,3.3,54.22,0.24
2023-02-21,600519,1694.64,1687.64,1694.64,1671.64,18751,3491633510.0,1.36,-0.47,-8.0,0.15
2023-02-22,600519,1675.65,1656.64,1684.54,1652.44,21869,4031016045.0,1.9,-1.84,-31.0,0.17
2023-02-23,600519,1660.64,1638.64,1669.44,1625.89,21881,3983991208.0,2.63,-1.09,-18.0,0.17
2023-02-24,600519,1630.75,1608.64,1630.83,1602.82,24635,4415621498.0,1.71,-1.83,-30.0,0.2
2023-02-27,600519,1599.14,1631.05,1635.64,1595.66,22065,3978128676.0,2.49,1.39,22.41,0.18
2023-02-28,600519,1639.64,1634.38,1642.65,1603.94,23952,4314877096.0,2.37,0.2,3.33,0.19
2023-03-01,600519,1633.64,1659.17,1668.64,1623.87,24458,4475592195.0,2.74,1.52,24.79,0.19
2023-03-02,600519,1649.64,1648.64,1659.63,1641.74,13144,2405292304.0,1.08,-0.63,-10.53,0.1
2023-03-03,600519,1660.41,1638.68,1662.25,1623.12,16198,2946842659.0,2.37,-0.6,-9.96,0.13
2023-03-06,600519,1638.82,1627.78,1639.14,1617.41,20646,3730079522.0,1.33,-0.67,-10.9,0.16
2023-03-07,600519,1626.62,1608.94,1637.24,1608.64,22785,4101302456.0,1.76,-1.16,-18.84,0.18
2023-03-08,600519,1600.66,1591.06,1606.58,1581.76,22764,4035787172.0,1.54,-1.11,-17.88,0.18
2023-03-09,600519,1588.64,1590.66,1605.64,1560.64,27612,4881442710.0,2.83,-0.03,-0.4,0.22
2023-03-10,600519,1572.21,1570.64,1601.64,1570.64,21161,3725139075.0,1.95,-1.26,-20.02,0.17
2023-03-13,600519,1571.64,1582.64,1595.64,1569.64,20560,3626476291.0,1.66,0.76,12.0,0.16
2023-03-14,600519,1584.42,1586.64,1600.52,1559.14,23705,4177289027.0,2.61,0.25,4.0,0.19
2023-03-15,600519,1599.01,1571.56,1605.52,1570.76,19213,3392698490.0,2.19,-0.95,-15.08,0.15
2023-03-16,600519,1560.64,1572.63,1590.64,1559.65,17646,3096791142.0,1.97,0.07,1.07,0.14
2023-03-17,600519,1590.64,1562.64,1596.53,1556.64,27023,4744249369.0,2.54,-0.64,-9.99,0.22
2023-03-20,600519,1571.64,1550.24,1575.64,1548.64,20491,3557872017.0,1.73,-0.79,-12.4,0.16
2023-03-21,600519,1555.64,1595.64,1606.49,1544.61,31142,5491052284.0,3.99,2.93,45.4,0.25
2023-03-22,600519,1600.64,1593.99,1613.64,1586.19,15330,2727648674.0,1.72,-0.1,-1.65,0.12
2023-03-23,600519,1586.64,1595.5,1611.75,1585.65,17356,3082821551.0,1.64,0.09,1.51,0.14
2023-03-24,600519,1589.72,1599.26,1604.24,1586.64,12770,2269649179.0,1.1,0.24,3.76,0.1
2023-03-27,600519,1599.24,1588.43,1599.24,1576.64,15296,2700755933.0,1.41,-0.68,-10.83,0.12
2023-03-28,600519,1590.64,1602.44,1610.64,1585.66,17261,3073113077.0,1.57,0.88,14.01,0.14
2023-03-29,600519,1619.64,1610.64,1620.64,1605.71,15393,2761909333.0,0.93,0.51,8.2,0.12
2023-03-30,600519,1613.64,1620.64,1625.64,1599.64,19257,3453573052.0,1.61,0.62,10.0,0.15
2023-03-31,600519,1645.64,1640.64,1668.64,1639.64,27446,5024790356.0,1.79,1.23,20.0,0.22
2023-04-03,600519,1645.64,1622.71,1648.41,1620.72,21417,3875811673.0,1.69,-1.09,-17.93,0.17
2023-04-04,600519,1632.64,1635.23,1635.81,1607.64,20066,3614275263.0,1.74,0.77,12.52,0.16
2023-04-06,600519,1625.64,1617.6,1636.54,1608.86,14874,2676251956.0,1.69,-1.08,-17.63,0.12
2023-04-07,600519,1615.64,1611.63,1626.65,1608.98,13525,2428160574.0,1.09,-0.37,-5.97,0.11
2023-04-10,600519,1611.52,1592.34,1611.52,1564.64,29418,5171150567.0,2.91,-1.2,-19.29,0.23
2023-04-11,600519,1613.64,1566.14,1613.64,1564.64,29209,5138854627.0,3.08,-1.65,-26.2,0.23
2023-04-12,600519,1567.9,1514.74,1570.64,1513.46,51105,8732657376.0,3.65,-3.28,-51.4,0.41
2023-04-13,600519,1510.64,1543.64,1544.23,1504.65,29543,5049310126.0,2.61,1.91,28.9,0.24
2023-04-14,600519,1546.64,1534.06,1553.64,1525.44,21232,3646526766.0,1.83,-0.62,-9.58,0.17
2023-04-17,600519,1560.64,1573.64,1573.64,1548.64,30467,5303401395.0,1.63,2.58,39.58,0.24
2023-04-18,600519,1573.64,1578.64,1589.64,1566.66,18314,3220107647.0,1.46,0.32,5.0,0.15
2023-04-19,600519,1582.64,1579.64,1586.14,1570.64,14601,2568632845.0,0.98,0.06,1.0,0.12
2023-04-20,600519,1580.75,1562.52,1585.64,1549.64,19885,3468366835.0,2.28,-1.08,-17.12,0.16
2023-04-21,600519,1566.64,1546.11,1568.72,1541.92,18518,3210937222.0,1.72,-1.05,-16.41,0.15
2023-04-24,600519,1541.64,1525.64,1542.64,1521.64,20231,3456728718.0,1.36,-1.32,-20.47,0.16
2023-04-25,600519,1526.64,1551.02,1556.62,1522.64,20583,3534989917.0,2.23,1.66,25.38,0.16
2023-04-26,600519,1564.64,1564.55,1581.64,1540.64,27892,4861477657.0,2.64,0.87,13.53,0.22
2023-04-27,600519,1568.64,1578.56,1590.64,1550.64,25605,4489906864.0,2.56,0.9,14.01,0.2
2023-04-28,600519,1583.65,1581.16,1603.41,1574.61,26225,4636084177.0,1.82,0.16,2.6,0.21
2023-05-04,600519,1589.64,1570.54,1598.31,1556.64,27466,4818999650.0,2.64,-0.67,-10.62,0.22
2023-05-05,600519,1586.64,1570.64,1586.64,1557.03,20714,3621305973.0,1.89,0.01,0.1,0.16
2023-05-08,600519,1588.96,1541.16,1589.64,1537.81,33171,5742915994.0,3.3,-1.88,-29.48,0.26
2023-05-09,600519,1535.64,1542.64,1560.62,1527.71,29378,5057346564.0,2.14,0.1,1.48,0.23
2023-05-10,600519,1535.83,1545.64,1556.64,1535.64,20773,3588550877.0,1.36,0.19,3.0,0.17
2023-05-11,600519,1551.64,1537.71,1555.64,1535.64,15246,2623835905.0,1.29,-0.51,-7.93,0.12
2023-05-12,600519,1535.64,1527.04,1550.52,1525.65,19460,3335038590.0,1.62,-0.69,-10.67,0.15
2023-05-15,600519,1522.64,1536.94,1537.64,1511.84,25740,4384647977.0,1.69,0.65,9.9,0.2
2023-05-16,600519,1534.63,1523.93,1540.63,1517.64,22224,3785811907.0,1.5,-0.85,-13.01,0.18
2023-05-17,600519,1528.64,1521.64,1533.64,1519.65,16777,2858697942.0,0.92,-0.15,-2.29,0.13
2023-05-18,600519,1525.63,1511.64,1526.04,1510.64,19219,3260170684.0,1.01,-0.66,-10.0,0.15
2023-05-19,600519,1491.64,1520.14,1524.97,1476.19,26741,4504022549.0,3.23,0.56,8.5,0.21
2023-05-22,600519,1510.65,1566.64,1572.64,1510.64,41284,7165754129.0,4.08,3.06,46.5,0.33
2023-05-23,600519,1574.63,1545.19,1574.64,1545.19,16894,2934118394.0,1.88,-1.37,-21.45,0.13
